Rank on List,Ethnicity,Gender,Race,Project Type,VI Score,Household Type
60,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,12,Household with Children
61,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,12,Household with Children
62,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,12,Household with Children
63,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,11,Household with Children
64,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,11,Household with Children
65,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,11,Household with Children
66,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,11,Household with Children
67,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,11,Household with Children
68,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,11,Household with Children
69,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,11,Household with Children
70,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,11,Household with Children
71,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,11,Household with Children
72,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
73,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,PSH,10,Household with Children
74,Hispanic/Latin(a)(o)(x),Female,White,PSH,10,Household with Children
75,Hispanic/Latin(a)(o)(x),Female,Multi-Racial,PSH,10,Household with Children
76,Data not collected,Female,Data not collected,PSH,10,Household with Children
77,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
78,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
79,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
80,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
81,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
82,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,9,Household with Children
83,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,9,Household with Children
84,Hispanic/Latin(a)(o)(x),Female,Multi-Racial,PSH,9,Household with Children
85,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,9,Household with Children
86,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,9,Household with Children
87,Hispanic/Latin(a)(o)(x),Female,White,PSH,9,Household with Children
88,Hispanic/Latin(a)(o)(x),Female,Multi-Racial,PSH,9,Household with Children
89,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,9,Household with Children
90,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,9,Household with Children
91,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,9,Household with Children
92,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,9,Household with Children
93,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,9,Household with Children
94,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household with Children
95,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,8,Household with Children
96,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,8,Household with Children
97,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,PSH,8,Household with Children
98,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,8,Household with Children
99,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,8,Household with Children
100,Hispanic/Latin(a)(o)(x),Male,White,PSH,8,Household with Children
101,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,8,Household with Children
102,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,8,Household with Children
103,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,7,Household with Children
104,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,7,Household with Children
105,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,7,Household with Children
106,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,7,Household with Children
107,Hispanic/Latin(a)(o)(x),Female,Multi-Racial,PSH,7,Household with Children
108,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,7,Household with Children
109,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,7,Household with Children
110,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,PSH,6,Household with Children
111,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,5,Household with Children
112,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,5,Household with Children
113,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,5,Household with Children
114,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,PSH,4,Household with Children
115,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,4,Household with Children
116,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,4,Household with Children
117,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,4,Household with Children
118,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,4,Household with Children
119,Hispanic/Latin(a)(o)(x),Female,Client doesn't know,PSH,4,Household with Children
120,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,3,Household with Children
121,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,3,Household with Children
122,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,3,Household with Children
123,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,19,Household with Children
124,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,19,Household with Children
125,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,19,Household with Children
126,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,18,Household with Children
127,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,18,Household with Children
128,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,17,Household with Children
129,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,17,Household with Children
130,Hispanic/Latin(a)(o)(x),Female,Multi-Racial,PSH,17,Household with Children
131,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,17,Household with Children
132,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,17,Household with Children
133,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,16,Household with Children
134,Hispanic/Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,16,Household with Children
135,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,15,Household with Children
136,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,15,Household with Children
137,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,15,Household with Children
138,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,15,Household with Children
139,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,15,Household with Children
140,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,15,Household with Children
141,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,15,Household with Children
142,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,14,Household with Children
143,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,14,Household with Children
144,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,14,Household with Children
145,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,14,Household with Children
146,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,PSH,14,Household with Children
147,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,14,Household with Children
148,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,14,Household with Children
149,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,14,Household with Children
150,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,15,Household with Children
151,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,14,Household with Children
152,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,14,Household with Children
153,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,13,Household with Children
154,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,13,Household with Children
155,Hispanic/Latin(a)(o)(x),Female,White,PSH,13,Household with Children
156,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,13,Household with Children
157,Hispanic/Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,13,Household with Children
158,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household with Children
159,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,13,Household with Children
160,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household with Children
161,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,13,Household with Children
162,Hispanic/Latin(a)(o)(x),Male,Multi-Racial,PSH,13,Household with Children
163,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household with Children
164,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,13,Household with Children
165,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,13,Household with Children
166,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,13,Household with Children
167,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,13,Household with Children
168,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,13,Household with Children
169,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household with Children
170,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household with Children
171,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household with Children
172,Hispanic/Latin(a)(o)(x),Female,White,PSH,13,Household with Children
173,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,13,Household with Children
174,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household with Children
175,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household with Children
176,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,12,Household with Children
177,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,12,Household with Children
178,Hispanic/Latin(a)(o)(x),Female,White,PSH,12,Household with Children
179,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,12,Household with Children
180,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,12,Household with Children
181,Hispanic/Latin(a)(o)(x),Female,Multi-Racial,PSH,12,Household with Children
182,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,12,Household with Children
183,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,12,Household with Children
184,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,12,Household with Children
185,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,12,Household with Children
186,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,12,Household with Children
187,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,12,Household with Children
188,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,PSH,12,Household with Children
189,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,12,Household with Children
190,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,12,Household with Children
191,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,12,Household with Children
192,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,12,Household with Children
193,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,12,Household with Children
194,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,12,Household with Children
195,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,11,Household with Children
196,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,11,Household with Children
197,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,11,Household with Children
198,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,11,Household with Children
199,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,11,Household with Children
200,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,11,Household with Children
201,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,11,Household with Children
202,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,11,Household with Children
203,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,11,Household with Children
204,Client refused,Female,Client refused,PSH,11,Household with Children
205,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,11,Household with Children
206,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,11,Household with Children
207,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,11,Household with Children
208,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,11,Household with Children
209,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,11,Household with Children
210,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,11,Household with Children
211,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,11,Household with Children
212,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,11,Household with Children
213,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,11,Household with Children
214,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,11,Household with Children
215,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,11,Household with Children
216,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,11,Household with Children
217,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,11,Household with Children
218,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,11,Household with Children
219,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,11,Household with Children
220,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,11,Household with Children
221,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,11,Household with Children
222,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,11,Household with Children
223,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
224,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
225,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,10,Household with Children
226,Hispanic/Latin(a)(o)(x),Male,White,PSH,10,Household with Children
227,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,10,Household with Children
228,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
229,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,10,Household with Children
230,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,10,Household with Children
231,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,10,Household with Children
232,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,10,Household with Children
233,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,10,Household with Children
234,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,10,Household with Children
235,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,10,Household with Children
236,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,14,Household with Children
237,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,10,Household with Children
238,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
239,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
240,Hispanic/Latin(a)(o)(x),Male,White,PSH,10,Household with Children
241,Hispanic/Latin(a)(o)(x),Female,Multi-Racial,PSH,10,Household with Children
242,Hispanic/Latin(a)(o)(x),Female,"Black, African American, or African",PSH,10,Household with Children
243,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
244,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
245,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,10,Household with Children
246,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,10,Household with Children
247,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
248,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,10,Household with Children
249,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
250,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
251,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,10,Household with Children
252,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,10,Household with Children
253,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,10,Household with Children
254,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,10,Household with Children
255,Hispanic/Latin(a)(o)(x),Female,Data not collected,PSH,10,Household with Children
256,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,10,Household with Children
257,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,PSH,10,Household with Children
258,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,10,Household with Children
259,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,9,Household with Children
260,Hispanic/Latin(a)(o)(x),Female,White,PSH,9,Household with Children
261,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,9,Household with Children
262,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,9,Household with Children
263,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household with Children
264,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,9,Household with Children
265,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,9,Household with Children
266,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,9,Household with Children
267,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,9,Household with Children
268,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household with Children
269,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,9,Household with Children
270,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,9,Household with Children
271,Hispanic/Latin(a)(o)(x),Female,White,PSH,9,Household with Children
272,Hispanic/Latin(a)(o)(x),Female,Multi-Racial,PSH,9,Household with Children
273,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,9,Household with Children
274,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,9,Household with Children
275,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household with Children
276,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household with Children
277,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household with Children
278,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,9,Household with Children
279,Hispanic/Latin(a)(o)(x),Female,White,PSH,9,Household with Children
280,Hispanic/Latin(a)(o)(x),Male,White,PSH,9,Household with Children
281,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,9,Household with Children
282,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household with Children
283,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,9,Household with Children
284,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household with Children
285,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,9,Household with Children
286,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,9,Household with Children
287,Hispanic/Latin(a)(o)(x),Female,Client doesn't know,PSH,9,Household with Children
288,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,9,Household with Children
289,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,9,Household with Children
290,Non-Hispanic/Non-Latin(a)(o)(x),Male,"American Indian, Alaska Native, or Indigenous",PSH,9,Household with Children
291,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household with Children
292,Hispanic/Latin(a)(o)(x),Female,White,PSH,9,Household with Children
293,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,9,Household with Children
294,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,9,Household with Children
295,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,9,Household with Children
296,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household with Children
297,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,9,Household with Children
298,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household with Children
